ID,City,Province,Nation
0,Aceh Barat,Aceh,Indonesia
1,Aceh Barat Daya,Aceh,Indonesia
2,Aceh Besar,Aceh,Indonesia
3,Aceh Jaya,Aceh,Indonesia
4,Aceh Selatan,Aceh,Indonesia
5,Aceh Singkil,Aceh,Indonesia
6,Aceh Tamiang,Aceh,Indonesia
7,Aceh Tengah,Aceh,Indonesia
8,Aceh Tenggara,Aceh,Indonesia
9,Aceh Timur,Aceh,Indonesia
10,Aceh Utara,Aceh,Indonesia
11,Banda Aceh,Aceh,Indonesia
12,Bener Meriah,Aceh,Indonesia
13,Bireuen,Aceh,Indonesia
14,Gayo Lues,Aceh,Indonesia
15,Langsa,Aceh,Indonesia
16,Lhokseumawe,Aceh,Indonesia
17,Nagan Raya,Aceh,Indonesia
18,Pidie,Aceh,Indonesia
19,Pidie Jaya,Aceh,Indonesia
20,Sabang,Aceh,Indonesia
21,Simeulue,Aceh,Indonesia
22,Subulussalam,Aceh,Indonesia
23,Badung,Bali,Indonesia
24,Bangli,Bali,Indonesia
25,Buleleng,Bali,Indonesia
26,Denpasar,Bali,Indonesia
27,Gianyar,Bali,Indonesia
28,Jembrana,Bali,Indonesia
29,Karangasem,Bali,Indonesia
30,Klungkung,Bali,Indonesia
31,Tabanan,Bali,Indonesia
32,Bangka,Bangka Belitung,Indonesia
33,Bangka Barat,Bangka Belitung,Indonesia
34,Bangka Selatan,Bangka Belitung,Indonesia
35,Bangka Tengah,Bangka Belitung,Indonesia
36,Belitung,Bangka Belitung,Indonesia
37,Belitung Timur,Bangka Belitung,Indonesia
38,Pangkalpinang,Bangka Belitung,Indonesia
39,Cilegon,Banten,Indonesia
40,Lebak,Banten,Indonesia
41,Pandeglang,Banten,Indonesia
42,Serang,Banten,Indonesia
43,Tangerang,Banten,Indonesia
44,Tangerang Selatan,Banten,Indonesia
45,Bengkulu,Bengkulu,Indonesia
46,Bengkulu Selatan,Bengkulu,Indonesia
47,Bengkulu Tengah,Bengkulu,Indonesia
48,Bengkulu Utara,Bengkulu,Indonesia
49,Kaur,Bengkulu,Indonesia
50,Kepahiang,Bengkulu,Indonesia
51,Lebong,Bengkulu,Indonesia
52,Mukomuko,Bengkulu,Indonesia
53,Rejang Lebong,Bengkulu,Indonesia
54,Seluma,Bengkulu,Indonesia
55,Bantul,Daerah Istimewa Yogyakarta,Indonesia
56,Gunungkidul,Daerah Istimewa Yogyakarta,Indonesia
57,Kulon Progo,Daerah Istimewa Yogyakarta,Indonesia
58,Sleman,Daerah Istimewa Yogyakarta,Indonesia
59,Yogyakarta,Daerah Istimewa Yogyakarta,Indonesia
60,Boalemo,Gorontalo,Indonesia
61,Bone Bolango,Gorontalo,Indonesia
62,Gorontalo,Gorontalo,Indonesia
63,Gorontalo Utara,Gorontalo,Indonesia
64,Pohuwato,Gorontalo,Indonesia
65,Kota Administrasi Jakarta Barat,Jakarta,Indonesia
66,Kota Administrasi Jakarta Pusat,Jakarta,Indonesia
67,Kota Administrasi Jakarta Selatan,Jakarta,Indonesia
68,Kota Administrasi Jakarta Timur,Jakarta,Indonesia
69,Kota Administrasi Jakarta Utara,Jakarta,Indonesia
70,Batanghari,Jambi,Indonesia
71,Bungo,Jambi,Indonesia
72,Jambi,Jambi,Indonesia
73,Kerinci,Jambi,Indonesia
74,Merangin,Jambi,Indonesia
75,Muaro Jambi,Jambi,Indonesia
76,Sarolangun,Jambi,Indonesia
77,Sungai Penuh,Jambi,Indonesia
78,Tanjung Jabung Barat,Jambi,Indonesia
79,Tanjung Jabung Timur,Jambi,Indonesia
80,Tebo,Jambi,Indonesia
81,Bandung,Jawa Barat,Indonesia
82,Banjar,Jawa Barat,Indonesia
83,Bekasi,Jawa Barat,Indonesia
84,Bogor,Jawa Barat,Indonesia
85,Cianjur,Jawa Barat,Indonesia
86,Cikarang,Jawa Barat,Indonesia
87,Cimahi,Jawa Barat,Indonesia
88,Cirebon,Jawa Barat,Indonesia
89,Depok,Jawa Barat,Indonesia
90,Garut,Jawa Barat,Indonesia
91,Indramayu,Jawa Barat,Indonesia
92,Karawang,Jawa Barat,Indonesia
93,Kuningan,Jawa Barat,Indonesia
94,Majalengka,Jawa Barat,Indonesia
95,Pangandaran,Jawa Barat,Indonesia
96,Purwakarta,Jawa Barat,Indonesia
97,Subang,Jawa Barat,Indonesia
98,Sukabumi,Jawa Barat,Indonesia
99,Sumedang,Jawa Barat,Indonesia
100,Tasikmalaya,Jawa Barat,Indonesia
101,Banyumas,Jawa Tengah,Indonesia
102,Batang,Jawa Tengah,Indonesia
103,Blora,Jawa Tengah,Indonesia
104,Boyolali,Jawa Tengah,Indonesia
105,Brebes,Jawa Tengah,Indonesia
106,Cilacap,Jawa Tengah,Indonesia
107,Demak,Jawa Tengah,Indonesia
108,Grobogan,Jawa Tengah,Indonesia
109,Jepara,Jawa Tengah,Indonesia
110,Kabupaten Semarang,Jawa Tengah,Indonesia
111,Karanganyar,Jawa Tengah,Indonesia
112,Kebumen,Jawa Tengah,Indonesia
113,Kendal,Jawa Tengah,Indonesia
114,Klaten,Jawa Tengah,Indonesia
115,Kudus,Jawa Tengah,Indonesia
116,Magelang,Jawa Tengah,Indonesia
117,Pati,Jawa Tengah,Indonesia
118,Pekalongan,Jawa Tengah,Indonesia
119,Pemalang,Jawa Tengah,Indonesia
120,Purbalingga,Jawa Tengah,Indonesia
121,Purwodadi,Jawa Tengah,Indonesia
122,Purworejo,Jawa Tengah,Indonesia
123,Rembang,Jawa Tengah,Indonesia
124,Salatiga,Jawa Tengah,Indonesia
125,Semarang,Jawa Tengah,Indonesia
126,Sragen,Jawa Tengah,Indonesia
127,Sukoharjo,Jawa Tengah,Indonesia
128,Surakarta,Jawa Tengah,Indonesia
129,Tegal,Jawa Tengah,Indonesia
130,Temanggung,Jawa Tengah,Indonesia
131,Wonogiri,Jawa Tengah,Indonesia
132,Wonosobo,Jawa Tengah,Indonesia
133,Banyuwangi,Jawa Timur,Indonesia
134,Batu,Jawa Timur,Indonesia
135,Blitar,Jawa Timur,Indonesia
136,Bojonegoro,Jawa Timur,Indonesia
137,Bondowoso,Jawa Timur,Indonesia
138,Gresik,Jawa Timur,Indonesia
139,Jember,Jawa Timur,Indonesia
140,Jombang,Jawa Timur,Indonesia
141,Kediri,Jawa Timur,Indonesia
142,Lamongan,Jawa Timur,Indonesia
143,Lumajang,Jawa Timur,Indonesia
144,Madiun,Jawa Timur,Indonesia
145,Magetan,Jawa Timur,Indonesia
146,Malang,Jawa Timur,Indonesia
147,Mojokerto,Jawa Timur,Indonesia
148,Nganjuk,Jawa Timur,Indonesia
149,Ngawi,Jawa Timur,Indonesia
150,Pacitan,Jawa Timur,Indonesia
151,Pamekasan,Jawa Timur,Indonesia
152,Pasuruan,Jawa Timur,Indonesia
153,Ponorogo,Jawa Timur,Indonesia
154,Probolinggo,Jawa Timur,Indonesia
155,Sampang,Jawa Timur,Indonesia
156,Sidoarjo,Jawa Timur,Indonesia
157,Situbondo,Jawa Timur,Indonesia
158,Sumenep,Jawa Timur,Indonesia
159,Surabaya,Jawa Timur,Indonesia
160,Tuban,Jawa Timur,Indonesia
161,Tulungagung,Jawa Timur,Indonesia
162,Kapuas Hulu,Kalimantan Barat,Indonesia
163,Kayong Utara,Kalimantan Barat,Indonesia
164,Ketapang,Kalimantan Barat,Indonesia
165,Mempawah,Kalimantan Barat,Indonesia
166,Pontianak,Kalimantan Barat,Indonesia
167,Sekadau,Kalimantan Barat,Indonesia
168,Singkawang,Kalimantan Barat,Indonesia
169,Sintang,Kalimantan Barat,Indonesia
170,Banjarbaru,Kalimantan Selatan,Indonesia
171,Banjarmasin,Kalimantan Selatan,Indonesia
172,Hulu Sungai Selatan,Kalimantan Selatan,Indonesia
173,Hulu Sungai Tengah,Kalimantan Selatan,Indonesia
174,Hulu Sungai Utara,Kalimantan Selatan,Indonesia
175,Kotabaru,Kalimantan Selatan,Indonesia
176,Tanah Bumbu,Kalimantan Selatan,Indonesia
177,Tapin,Kalimantan Selatan,Indonesia
178,Barito Selatan,Kalimantan Tengah,Indonesia
179,Barito Utara,Kalimantan Tengah,Indonesia
180,Gunung Mas,Kalimantan Tengah,Indonesia
181,Kapuas,Kalimantan Tengah,Indonesia
182,Katingan,Kalimantan Tengah,Indonesia
183,Kotawaringin Barat,Kalimantan Tengah,Indonesia
184,Kotawaringin Timur,Kalimantan Tengah,Indonesia
185,Murung Raya,Kalimantan Tengah,Indonesia
186,Palangka Raya,Kalimantan Tengah,Indonesia
187,Seruyan,Kalimantan Tengah,Indonesia
188,Balikpapan,Kalimantan Timur,Indonesia
189,Berau,Kalimantan Timur,Indonesia
190,Bontang,Kalimantan Timur,Indonesia
191,Kutai Barat,Kalimantan Timur,Indonesia
192,Kutai Kartanegara,Kalimantan Timur,Indonesia
193,Kutai Timur,Kalimantan Timur,Indonesia
194,Mahakam Ulu,Kalimantan Timur,Indonesia
195,Nusantara,Kalimantan Timur,Indonesia
196,Samarinda,Kalimantan Timur,Indonesia
197,Malinau,Kalimantan Utara,Indonesia
198,Nunukan,Kalimantan Utara,Indonesia
