Kode,Nama Customer,Alamat,Telepon,Tipe,Sales,Aktif,PIC Kendala Bongkar,Kontak,user_define1,user_define2,user_define3,user_define4,user_define5,user_define6,user_define7,user_define8,npwp,Company,pkp,email,credit_limit,Kode Internal SAP,Kode Eksternal,commitments_amount,remaining_amount,oldest_open_item,Flag API,Cek Plafon Bank,Cek Plafon SAP,ID Telegram,Norek BRI,Oid
CUS24040006,PT. SUPERIOR PRIMA SUKSES,"JL. RAYA KUPANG BARU NO. 27, DESA KUPANG, KEC. DUKUH PAKIS, KOTA SURABAYA, JAWA TIMUR 60225",0317323700,Company,PUTRA BAGUS FERMANSYAH,TRUE,,HENRIANTO,,,,,0,0,0,,314113663616000,11,,roni@superior.co.id,"1,700,000,000",2127230,2127230,"740,976,432","959,023,568",26.11.2025,,FALSE,FALSE,,,501
CUS24060002,CV. MUZA BERKAH ABADI,"PULE RT.004 RW.003, BAKALAN PULE, TIKUNG, KABUPATEN LAMONGAN",085852500027,Company,PUTRA BAGUS FERMANSYAH,TRUE,,IMAM MUQIBIN,,,,,0,0,0,,99.983.966.5-645.000,11,,,"966,000,000",2131350,2131350,"631,300,000","334,700,000",25.11.2025,,FALSE,FALSE,,,513
CUS25100002,PT. TRIATA MULIA INDONESIA,RUKO DELTA FORTUNA 02 NGINGAS KEC . WARU KAB. SIDOARJO,0315052246,Company,IRWAN ADI SAPUTRO,TRUE,,ARIEF BUWONO,,,,,0,0,0,,03.008.997.3-617.000,11,,triatama@triatama.co.id,"50,000,000",2122826,2122826,"6,600,000","43,400,000",23.11.2025,,FALSE,FALSE,,,663
2103983,UD RAHAYU ABADI,"JALAN VETERAN NOMOR 89 KEBOMAS GRESIK, KEL. SINGOSARI,",085257817456,Company,RUDIANTO,TRUE,,,,,,,0,0,0,,,11,,,"20,000,000",2103983,2103983,"6,000,000","14,000,000",01.12.2025,,FALSE,FALSE,,,341
CUS25110002,SUGENG HARIYANTO,"JL. VETERAN MADYA NO. 03, RT.001 RW.003, KEL. GENDING, KEC. KEBOMAS, KAB. GRESIK",,Retail,PUTRA BAGUS FERMANSYAH,TRUE,,SUGENG HARIYANTO,,,,,0,0,0,,485970867612000,11,,,"5,000,000",2137515,2137515,0,0,,,FALSE,FALSE,,,669
CUS25100005,PT. YCH INDONESIA MULTIMODAL TRANSPORT,"JL. RAYA KALIMALANG KM.2, KEL. SUKADANAU, KEC. CIKARANG BARAT, KAB. BEKASI, JAWA BARAT 17531",0218830828,Company,RIKI NOVA SURYATMAJA,TRUE,,CHIN BOON YAP,,,,,0,0,0,,202911822413000,11,,ridho.akbar@ych.com,0,2137295,2137295,0,0,,,FALSE,FALSE,,,666
CUS25010005,PT FAJAR FEROSAND SUKSES,"District 8, Treasury Tower Lantai 6 Unit F, Jalan Jend. Sudirman Kavling 52-53, SCBD Lot 28, Desa/Ke",,Company,ANDY ZUNAN HILMI,TRUE,,Bp. William Gunawan,,,,,0,0,0,,0139492805012000,11,,fajarferosandsukses@gmail.com,"4,774,000,000",2135454,,"4,119,788,682","654,211,318",31.10.2025,,FALSE,FALSE,,,579
CUS25110004,PT. BIO CIPTA LESTARI,"KOMPLEK NUANSA BIRU NO.17, JL, KAMPUNG JATI R005 RW003 RAMBUTAN CIRACAS",082140440005,Company,IRWAN ADI SAPUTRO,TRUE,,BHIMA ARIES DIYANTO,,,,,0,0,0,,0998712038068000,11,,info@biolestari.co.id,0,,,0,0,,,FALSE,FALSE,,,671
CUS24050005,PT BAMAS MULIA FELDSPARINDO,"JL. RAYA PAGEDONGAN KM 5 RT 004 RW 001 DESA PAGEDONGAN KECAMATAN PAGEDONGAN, BANJARNEGARA, JAWA TENG",085226046968,Company,ARLI TRI WIGUNA,TRUE,,WARHAM SYAFAAT,,,,,0,0,0,,95.230.023.4-529.000,11,,,"100,000,000",2132253,2132253,"34,253,100","65,746,900",12.11.2025,,FALSE,FALSE,,,508
CUS24010009,CV. BUMI MINERAL INDONUSA,"JL. PANTAI INDAH KAPUK NO.1, KOMP. RUKO TOHO BLOK E NO.1 RT.001 RW.003, PENJARINGAN, JAKARTA UTARA",02155965095,Company,ANDY ZUNAN HILMI,TRUE,,SURYADI CHANDRA,,,,,0,0,0,,746210392047000,11,,"suryadi@ballclays,com","650,000,000",2127375,2127375,"325,240,000","324,760,000",22.11.2025,,FALSE,FALSE,,,481
